id,id_2,sentence,joke,nonjoke,joke_question,joke_response,nonjoke_question,nonjoke_response,Joke Cloze Probability,Non-Joke Cloze Probability
1,1,I let my accountant do my taxes because it saves time: last spring it saved me ten,years,days,My accountant helps me commit tax fraud.,Yes,I am good at doing taxes,No,0,0
2,2,It is not hard to meet expenses: they are,everywhere,affordable,It is easy to pay expenses.,No,It is hard to pay expenses.,No,0.02,0.06
3,3,"The last time a guy in a mask took all my money, I was in",surgery,shock,Being operated on costs a lot of money.,Yes,I was robbed.,Yes,0,0.2
4,4,"My mechanic could not fix my brakes, so he fixed my",horn,clutch,"My mechanic wants me to use the horn to avoid hitting people, instead of the brakes.",Yes,My brakes were repaired at the mechanic,No,0.04,0
5,5,The only ones who want me for my body are,mosquitoes,losers,People find me very sexy.,No,My body is attractive to everyone,No,0,0.04
6,6,"By the time Mary had her fourteenth child, she'd run out of names to call her",husband,offspring,Mary is mad at her husband.,Yes,Mary is running out of names for her offspring.,Yes,0,0
7,7,A device for finding furniture in the dark is a,shin,candle,Sometimes you find furniture by running into it.,Yes,A candle helps you see furniture in the dark.,Yes,0,0
8,8,My doctor has never violated his oath: the oath he took years ago to become a,millionaire,practitioner,My doctor is motivated by profit.,Yes,My doctor has violated his oath to practice medicine,No,0,0.02
9,9,"Everyone had so much fun jumping into the swimming pool, we decided to put in a little",water,platform,People were jumping into an empty swimming pool at first.,Yes,People will be able to jump off the platform into the water.,Yes,0.02,0
10,10,Sunday is the day we bow our heads and,putt,rest,We go golfing on Sunday.,Yes,Sunday is a day of work like any other.,No,0,0
11,11,Nothing in the known universe travels faster than,gossip,radiation,Gossip spreads quickly.,Yes,We know of substances that are faster than radiation.,No,0,0
12,12,"He owns stock in a company that pays quarterly dividends, so every three months they send him a",quarter,statement,The company pays him a lot of money every quarter.,No,His company sends him quarterly payments.,Yes,0,0
13,13,A committee keeps minutes and takes,hours,votes,A committee takes up a lot of time.,Yes,A committee uses votes to function.,Yes,0,0
14,14,"I decided to start saving for a rainy day, so I went to a bank and deposited my",umbrella,pay,I did not deposit money at the bank,Yes,I saved my money to use later.,Yes,0,0
15,15,"She told him he looked like a million, and she meant every",century,syllable,She implied that he looked old.,Yes,She implied that he looked attractive.,Yes,0,0
16,16,Our son brought home a note from school saying they need a written excuse for his,presence,tardiness,Our son is almost always at school on weekdays.,No,Our son arrived to school on time.,No,0,0.04
17,17,"Where I'm from, the two most common elements are hydrogen and",stupidity,nitrogen,There are a lot of stupid people where I am from.,Yes,There is plenty of hydrogen and nitrogen where I am from.,Yes,0.04,0.08
18,18,The only thing money can't buy is,poverty,generosity,Money can be used to obtain anything but a lack of money.,Yes,Generosity can be bought with money.,No,0.02,0
19,19,"He told her he wasn't himself, and she said she'd noticed the",improvement,problem,She likes who he originally was.,No,She can tell that something is not going well with him.,Yes,0,0
20,20,"Though most people think it's Rome, the world's most beloved capital is actually",dollars,Vienna,Money is the most loved thing.,Yes,Rome is the most loved capital city.,No,0,0
21,21,Some people think courtship is the first in a series of steps leading to,divorce,romance,Some think all marriages are likely to end in divorce.,Yes,Courtship is important in forming relationships.,Yes,0,0.02
